操作区分,会員ID,[カスタム]メールマガジン配信（シュパーク）,[カスタム]旧会員ID
U,489,対象外,100031708
U,222,対象外,100029259
U,1116,対象外,100026904
U,2167,対象外,100022496
U,2328,対象外,100022769
